"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT06","WT07","WT08","WT09","WT10","WT11"
"USW00023064","37.92722","-100.72472","878.4","2000-05-05","0.00",,"63","72","53",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-06","0.00",,"71","80","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-07","0.00",,"77","92","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-08","0.01",,"58","66","50",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-09","0.00",,"56","69","43",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-10","0.00",,"71","90","51",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-11","0.00",,"74","94","54",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-12","0.00",,"59","71","46",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-13","0.00",,"51","66","36",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-14","0.00",,"63","79","46",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-15","0.00",,"68","86","50",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-16","0.00",,"67","76","57",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-17","0.00",,"70","86","54",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-18","0.00",,"54","60","48",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-19","0.00",,"55","69","40",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-20","0.00",,"64","81","46",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-21","0.00",,"67","85","48",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-22","0.00",,"72","93","50",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-23","0.00",,"79","98","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-24","0.01",,"68","81","55",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-25","0.24",,"67","81","52",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-26","0.04",,"71","85","56",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-27","0.04",,"69","82","55",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-28","0.00",,"74","95","52",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-29","0.00",,"79","98","60",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-30","0.00",,"83","98","67",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-05-31","0.00",,"78","94","62",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-01","0.00",,"75","84","65",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-02","0.00",,"64","69","59",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-03","0.00",,"70","81","58",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-04","0.00",,"69","80","57",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-05","0.00",,"60","76","43",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-06","0.00",,"71","86","56",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-07","0.00",,"77","95","58",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-08","0.00",,"77","92","61",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-09","0.50",,"78","91","64",,,,,,,,,,
"USW00023064","37.92722","-100.72472","878.4","2000-06-10","0.00",,"79","91","66",,,,,,,,,,
