"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT16","WT19"
"US1KSGH0001","39.2101","-100.0486","755.0","2008-09-02","0.01","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-09-05","0.17","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-09-08","0.69","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-09-11","0.01","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-09-12","0.12","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-09-18","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-09-25","0.69","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-10-06","0.02","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-10-12","0.27","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-10-13","1.51","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-10-14","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-10-15","1.56","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-10-21","0.12","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-10-22","1.92","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-10-23","0.88","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-11-11","0.61","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-12-16","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-12-19","0.15","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2008-12-24","0.01","0.1",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-01-15","0.01","0.3",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-02-09","0.07",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-03-02","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-03-27","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-12","0.55",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-13","0.63",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-16","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-17","0.42",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-18","2.28",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-19","0.04",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-23","0.29",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-26","0.01",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-27","0.18",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-29","0.06",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-04-30","0.01",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-02","0.17",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-03","0.16",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-04","0.08",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-05","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-06","0.01",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-07","0.04",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-08","0.20",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-11","0.17",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-14","0.00","0.0",,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-26","1.10",,,,,,,,,,,,,,,,
"US1KSGH0001","39.2101","-100.0486","755.0","2009-05-27","4.80",,,,,,,,,,,,,,,,
